pair_id	hic_contact_enrichment	hic_feature	hic_n_replicates	hic_n_bin_pairs	hic_partial_enrichment	hic_status	hic_qc_reasons	hic_assembly	hic_resolution
Abca3:Nek2	2.0719421745841307	1.3628582066710981	3	1	2.0719421745841307	observed_all_replicates		GRCm39	500000
Abca3:Nup205	1.4946845492335694	0.996160608482473	3	1	1.4946845492335694	observed_all_replicates		GRCm39	500000
Abca3:Strap			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcb1b:Fcer1g			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcb4:Ftl1-ps1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcb4:Mlf2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcc1:Serpinb9			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcc4:Tgds			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcc5:Ccl5			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcc5:Cdk2ap2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcc5:Clic5	1.3187468242322415	0.8629447288905319	3	1	1.3187468242322415	observed_all_replicates		GRCm39	500000
Abcc5:Gm10123			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcc5:Oas1a	2.2729186068283593	1.4714052697317153	3	1	2.2729186068283593	observed_all_replicates		GRCm39	500000
Abcc5:Pld3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcc5:Rpl10a			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcc5:Rpl17-ps5			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcc5:Rplp1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcc5:Saa3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcc5:Slc25a51			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcc5:Zfp638			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcd1:Apex1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcd1:Cd74			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcd1:Eef1a1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcd1:Rpl36-ps12			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcf1:Lgals1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcf1:Lipa			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcf1:Rps8			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcf2:Gm12191			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcf2:Srrm1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcg1:Lrpprc			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abcg1:Ptbp1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd11:Nabp1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd11:Rtraf			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd12:Arl1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd12:Cdc37			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd12:Ctss			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd12:Cyba			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd12:Gm4149			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd12:Plgrkt			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd12:Pygb			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd12:Rhob			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd12:Saa3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd12:Vps53			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd14a:Psmb1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd14b:Ndufa7			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd14b:Rnf19b			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd16a:Emd			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd16a:Timm10b			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd16a:Tyrobp			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd17a:Clec4a1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd17a:Coro1a			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd17a:Lgals3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd17a:Rpl41			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd17b:1110059E24Rik			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd17c:Ttll3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd18:Ube2a			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd4:Gm10051			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd4:Lgmn			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd4:Prdx1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd5:Capg			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abhd5:Gm47128			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abi1:Btf3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abi1:Ext2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abi1:Nsdhl			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abi1:Ppp2r1a			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abi1:Stt3b			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abi2:Eef1a1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abl1:Rps11			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abl2:Gm12191			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abl2:Lmbrd1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abl2:Rpl36a			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abl2:Soat1			0	0		unavailable	cis_below_500kb_bin_distance	GRCm39	500000
Abr:Arhgap40			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abr:Impact			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abr:Map2k1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abr:Pitpna	20.441566271743294	4.3882974439360325	3	1	20.441566271743294	observed_all_replicates		GRCm39	500000
Abr:Rpl37a			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abr:Timm22			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abr:Xdh			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abr:Zkscan17			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abracl:Atox1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abracl:Gm12918			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abracl:Lilrb4a			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abraxas2:Aprt			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abraxas2:Btf3l4			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abraxas2:Exoc3l4			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Abtb1:Gm14399			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Acaa1a:Ccl2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Acaa1a:Erp44			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Acaa1a:Ftl1-ps1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Acaa1a:Hcls1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Acaa1a:Ms4a6b			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Acaa1a:Pgk1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Acaa1a:Prdx1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Acaa1a:Rpl35a-ps2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Acaa1a:Rps21			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Acaa1a:Tmem171			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Acaa1a:Trappc6a			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Acaa2:Lgals1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Acaa2:Psmb6			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Acaca:Prdx1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Acaca:Rps14			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Acadl:B2m			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Acadl:Pirb			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Acadl:Rplp1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Acadm:Marchf1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
Acadm:Sec13			0	0		unavailable	no_probe_coordinates	GRCm39	500000
