method,k,candidates,known_positives,expected_supported_at_k,known_positive_recall_at_k,tie_breaking_lower_95,tie_breaking_upper_95,threshold_tie_candidates,interval_meaning
Reported short-read support,17,378,86,9.272727272727273,0.10782241014799156,7.0,11.0,22,95% variability from random tie-breaking; not biological confidence
Reported short-read support,18,378,86,9.818181818181818,0.11416490486257928,8.0,12.0,22,95% variability from random tie-breaking; not biological confidence
Reported short-read support,19,378,86,10.363636363636363,0.12050739957716701,9.0,12.0,22,95% variability from random tie-breaking; not biological confidence
Reported short-read support,20,378,86,10.909090909090908,0.12684989429175475,10.0,12.0,22,95% variability from random tie-breaking; not biological confidence
Reported short-read support,21,378,86,11.454545454545455,0.1331923890063425,11.0,12.0,22,95% variability from random tie-breaking; not biological confidence
Reported short-read support,22,378,86,12.0,0.13953488372093023,12.0,12.0,22,95% variability from random tie-breaking; not biological confidence
Reported short-read support,23,378,86,12.207865168539326,0.14195192056441078,12.0,13.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,24,378,86,12.415730337078651,0.1443689574078913,12.0,14.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,25,378,86,12.623595505617978,0.14678599425137184,12.0,14.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,26,378,86,12.831460674157304,0.14920303109485236,12.0,15.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,27,378,86,13.039325842696629,0.15162006793833288,12.0,15.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,28,378,86,13.247191011235955,0.15403710478181343,12.0,15.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,29,378,86,13.45505617977528,0.15645414162529395,12.0,16.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,30,378,86,13.662921348314606,0.1588711784687745,12.0,16.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,31,378,86,13.870786516853933,0.16128821531225504,12.0,16.0,356,95% variability from random tie-breaking; not biological confidence
